result_id,rule_id,result_date,dimension,severity,total_records,pass_count,fail_count,warning_count,failure_rate,warning_rate,dq_score
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CN01,2026-08-24T12:53:37.507238,Completeness,High,100000,98500,1500,0,0.015,0.0,98.5
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CN02,2026-08-24T12:53:37.507238,Completeness,High,100000,99200,800,0,0.008,0.0,99.2
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CN03,2026-08-24T12:53:37.507238,Completeness,Critical,100000,99800,200,0,0.002,0.0,99.8
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-VL01,2026-08-24T12:53:37.507238,Validity,High,100000,99500,500,0,0.005,0.0,99.5
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-VL02,2026-08-24T12:53:37.507238,Validity,High,100000,99800,200,0,0.002,0.0,99.8
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-VL03,2026-08-24T12:53:37.507238,Validity,Medium,100000,99500,500,0,0.005,0.0,99.5
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-VL04,2026-08-24T12:53:37.507238,Validity,Medium,100000,99700,300,0,0.003,0.0,99.7
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CS01,2026-08-24T12:53:37.507238,Consistency,High,100000,99600,400,0,0.004,0.0,99.6
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CS02,2026-08-24T12:53:37.507238,Consistency,High,100000,99800,200,0,0.002,0.0,99.8
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CS03,2026-08-24T12:53:37.507238,Consistency,High,100000,99400,600,0,0.006,0.0,99.4
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-CS04,2026-08-24T12:53:37.507238,Consistency,Critical,100000,97800,2200,0,0.022,0.0,97.8
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-UN01,2026-08-24T12:53:37.507238,Uniqueness,Critical,100000,99400,600,0,0.006,0.0,99.4
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-AC01,2026-08-24T12:53:37.507238,Accuracy,High,100000,99800,200,0,0.002,0.0,99.8
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-AC02,2026-08-24T12:53:37.507238,Accuracy,Medium,100000,98662,1338,0,0.01338,0.0,98.662
08b65459-2f71-41e9-bb7d-bbbad7af330a,DQ-AC03,2026-08-24T12:53:37.507238,Accuracy,Critical,100000,99800,200,0,0.002,0.0,99.8
